local,resolution,features,stage,seed,model,MSE,RMSE,MAE,R2,MAPE (ign. zeros),SMAPE,Poisson_Deviance,Pearson,Spearman
RJ,DAILY,FULL,METHOD_CORRECTED_V2,248,rf,0.1485669239807832,0.3854438013261897,0.0476521946068151,0.3542451640569883,80.59234355334493,5.727136499214101,1.062489275258697,0.5967107785899747,0.3780062206808779
RJ,DAILY,FULL,METHOD_CORRECTED_V2,248,xgb_poisson,0.1460547647732512,0.3821711197529861,0.0470022161736052,0.3651644111777835,80.7247099415513,5.668444537314931,1.066247677070018,0.6064538766337918,0.3802521242224191
RJ,DAILY,FULL,METHOD_CORRECTED_V2,248,xgb_zip,0.1624217274255202,0.403015790541165,0.0448931328365534,0.2940244494742725,95.50131931406992,4.817979283365842,1.5433997345634591,0.546742921290842,0.3081886896001546
RJ,DAILY,FULL,METHOD_CORRECTED_V2,254,rf,0.1487796171522913,0.3857196094992984,0.0476477325123079,0.3533206807305977,80.78996146966232,5.727322092135269,1.0670012353346918,0.5959684450095748,0.3764252709911193
RJ,DAILY,FULL,METHOD_CORRECTED_V2,254,xgb_poisson,0.1472297829934704,0.383705333548376,0.0470379129296625,0.360057125668353,80.65588728245395,5.667739307466106,1.0664209174017711,0.6024127712830553,0.3801849883849176
RJ,DAILY,FULL,METHOD_CORRECTED_V2,254,xgb_zip,0.159170347894635,0.3989615869913231,0.0459551113292579,0.3081567610231525,94.4128422956912,4.878470541920356,1.437226395808048,0.5582219267444197,0.3279885053200043
RJ,DAILY,FULL,METHOD_CORRECTED_V2,75,rf,0.1493656388975651,0.3864785102661792,0.0476239346749364,0.3507735028942489,80.74744233407316,5.715194734355824,1.063675593709735,0.5938397331397414,0.3783411653658907
RJ,DAILY,FULL,METHOD_CORRECTED_V2,75,xgb_poisson,0.1470156024571267,0.3834261368987862,0.0470081656329481,0.3609880739131099,81.03927225313545,5.657062359461404,1.0745532546958338,0.6025482477201201,0.3782390318792571
RJ,DAILY,FULL,METHOD_CORRECTED_V2,75,xgb_zip,0.1604792289500691,0.4005985883026414,0.0453928874213555,0.3024676328607488,94.854970747785,4.840768320752114,1.474005758671771,0.5534805397891545,0.3215271507031084
RJ,WEEKLY,CASEONLY,BASELINE_METHOD_CORRECTED_V2,987,rf,1.7151365653626809,1.309632225230687,0.2408420564392861,0.6767116248534242,70.7459902635224,17.386784159228693,2.744248176566126,0.8229848725911817,0.6140484366775067
RJ,WEEKLY,CASEONLY,BASELINE_METHOD_CORRECTED_V2,987,xgb_poisson,1.8930457607286295,1.3758799950317724,0.2455330318459251,0.6431772837082164,70.57280338386977,17.482686149143177,2.8784986069579475,0.8089585061119852,0.6069539385004346
RJ,WEEKLY,CASEONLY,BASELINE_METHOD_CORRECTED_V2,987,xgb_zip,2.037359138968829,1.4273609000420422,0.2611766442132338,0.6159754628705143,97.6470790326667,15.763877322926012,4.670980719285724,0.7853828251881672,0.5697320756833804
RJ,WEEKLY,CASEONLY,METHOD_CORRECTED_V2,107,rf,1.6969735302488853,1.3026793658644038,0.2384280488704763,0.6801351995286149,69.34672057278165,17.44429393834793,2.720651440357558,0.8251678062125541,0.6144133290883202
RJ,WEEKLY,CASEONLY,METHOD_CORRECTED_V2,107,xgb_poisson,1.6713892666266088,1.2928222099834954,0.2394084100228751,0.6849576114477605,69.51010809517149,17.417114295254336,2.7279696661368877,0.8319391255038626,0.6151519503373652
RJ,WEEKLY,CASEONLY,METHOD_CORRECTED_V2,107,xgb_zip,1.9857478679780316,1.4091656637805334,0.2537132496336822,0.6257037400671096,91.98841176738432,15.563721211087431,4.579017246321137,0.794850212817201,0.5762846032576104
RJ,WEEKLY,CASEONLY,METHOD_CORRECTED_V2,109,rf,1.7115102832505824,1.308247026845688,0.2393662439518041,0.6773951475976294,69.1429536590289,17.56276078612064,2.679285360068158,0.8234072633666604,0.6143181904063748
RJ,WEEKLY,CASEONLY,METHOD_CORRECTED_V2,109,xgb_poisson,1.6933683311723222,1.3012948671121094,0.239798446180281,0.6808147483033771,69.39897172761367,17.430152893390535,2.737822280847414,0.8301455814272429,0.6147067064652272
RJ,WEEKLY,CASEONLY,METHOD_CORRECTED_V2,109,xgb_zip,1.9944762446897104,1.4122592696419842,0.2528910112477994,0.6240585167176854,92.00384638845613,15.514959618461267,4.533340303368432,0.7934040237218654,0.5777317542142241
RJ,WEEKLY,CASEONLY,METHOD_CORRECTED_V2,140,rf,1.7240968554652498,1.313048687393293,0.2388391680634177,0.6750226878401264,69.37995038664442,17.496158183057428,2.6978267293484315,0.8219808236689214,0.6142405307134209
RJ,WEEKLY,CASEONLY,METHOD_CORRECTED_V2,140,xgb_poisson,1.6600044274374623,1.288411590850324,0.239914402875726,0.6871035549470095,69.56719467625376,17.566250360113823,2.7247185401468417,0.8332285802697101,0.6127056820401252
RJ,WEEKLY,CASEONLY,METHOD_CORRECTED_V2,140,xgb_zip,2.0420079483043967,1.4289884353291304,0.2550309393546482,0.6150992026083211,92.58496763030917,15.536546441622187,4.579337494302152,0.7872169286120122,0.577674240338496
RJ,WEEKLY,CASEONLY,METHOD_CORRECTED_V2,149,rf,1.7205338224597575,1.311691206976611,0.2398511537691196,0.6756942886760025,68.64414458054917,17.725175951342276,2.658337799147288,0.8223641685298934,0.612926455590469
RJ,WEEKLY,CASEONLY,METHOD_CORRECTED_V2,149,xgb_poisson,1.6763437799774412,1.2947369539707445,0.2389867493121659,0.6840237286286428,69.64178106210399,17.40810895215174,2.7611101543240544,0.8315136026996697,0.6143240853278871
RJ,WEEKLY,CASEONLY,METHOD_CORRECTED_V2,149,xgb_zip,1.9460379705469997,1.3950046489338304,0.2539346215068045,0.6331887115131011,92.91057991355537,15.576668117789383,4.518866217157773,0.8002632861890336,0.5764507020179037
RJ,WEEKLY,CASEONLY,METHOD_CORRECTED_V2,220,rf,1.7191318005966498,1.311156665161204,0.2391659551142173,0.6759585576439655,69.19912225838458,17.54523822198228,2.69132717377934,0.8225370999279169,0.6142303913338859
RJ,WEEKLY,CASEONLY,METHOD_CORRECTED_V2,220,xgb_poisson,1.6783466683533097,1.295510196159532,0.2404836448351833,0.6836462015315528,69.70714979203093,17.54681510761077,2.7491057965775414,0.8305633573752813,0.6125634690021606
RJ,WEEKLY,CASEONLY,METHOD_CORRECTED_V2,220,xgb_zip,1.9560524124263408,1.398589436691963,0.2582355607560376,0.6313010760276506,91.70599195672484,15.649908939424654,4.139245634157774,0.7961977662630445,0.5887671451996203
RJ,WEEKLY,CASEONLY,METHOD_CORRECTED_V2,222,rf,1.7084321600624055,1.3070700670057462,0.2390289153832368,0.6779753471363152,69.40693863262968,17.48721176171429,2.700413607765315,0.8237854021002999,0.6146478404449959
RJ,WEEKLY,CASEONLY,METHOD_CORRECTED_V2,222,xgb_poisson,1.6861263084658928,1.2985092639122344,0.2402306484087578,0.6821798068070659,69.57556603472212,17.58419953138233,2.724001056727686,0.8284585257176328,0.6126830676894721
RJ,WEEKLY,CASEONLY,METHOD_CORRECTED_V2,222,xgb_zip,1.9666255547473728,1.4023642731998605,0.255779387116157,0.6293081303519592,93.06777862789136,15.61180377265142,4.531923593094938,0.7992418131369131,0.5769877744773318
RJ,WEEKLY,CASEONLY,METHOD_CORRECTED_V2,241,rf,1.700873891822945,1.304175560199985,0.2389129586877918,0.6794000151816499,69.22989594947447,17.50313265647914,2.6947084269980683,0.8247047330055212,0.6146270737776257
RJ,WEEKLY,CASEONLY,METHOD_CORRECTED_V2,241,xgb_poisson,1.6958982954365769,1.3022665992171407,0.2406206845661638,0.6803378719702107,69.49052604367193,17.634171622650157,2.7112327569948613,0.8296253658640121,0.6124060752625474
RJ,WEEKLY,CASEONLY,METHOD_CORRECTED_V2,241,xgb_zip,1.978600718931512,1.406627427192969,0.2553577264054478,0.6270509157083048,92.69983040050272,15.608192915968482,4.555200673092664,0.7966097033018843,0.5756129914013836
RJ,WEEKLY,CASEONLY,METHOD_CORRECTED_V2,248,rf,1.7032984409095222,1.3051047624269565,0.2389129586877918,0.6789430086956988,69.13493817584782,17.54649170102594,2.6878219981493503,0.8243665079061776,0.6141086332382094
RJ,WEEKLY,CASEONLY,METHOD_CORRECTED_V2,248,xgb_poisson,1.739245016497475,1.3188043890196437,0.240030359571171,0.6721673907952924,69.45300331235636,17.477394819067356,2.712638199455625,0.8265321371082774,0.6141278853604806
RJ,WEEKLY,CASEONLY,METHOD_CORRECTED_V2,248,xgb_zip,1.9314801345097667,1.3897770089153751,0.2532494228519022,0.6359327374135295,92.2687887895035,15.543156322858586,4.496355260152691,0.8012927938128661,0.5777851090419983
RJ,WEEKLY,CASEONLY,METHOD_CORRECTED_V2,254,rf,1.7072936761434911,1.3066344845225428,0.238248843068425,0.6781899414862402,69.44070609711568,17.441579685618862,2.705730314810902,0.8239075757868268,0.6146958163642434
RJ,WEEKLY,CASEONLY,METHOD_CORRECTED_V2,254,xgb_poisson,1.7147992367941136,1.309503431379282,0.2397246555559069,0.6767752083645131,69.42304575917582,17.40262716206188,2.761489933680432,0.8286821539165479,0.6138497730628003
RJ,WEEKLY,CASEONLY,METHOD_CORRECTED_V2,254,xgb_zip,1.9731929203166672,1.4047038550230675,0.25465144471501,0.628070238870448,92.23886139172782,15.59884295706663,4.469094518669306,0.7963220396168393,0.5777461337218774
RJ,WEEKLY,CASEONLY,METHOD_CORRECTED_V2,75,rf,1.7033511484983608,1.3051249551281905,0.2392819118096623,0.6789330737720911,69.45718870271418,17.573408214761645,2.7122848693365587,0.8243639688146426,0.612895416805659
